,DATES,STATE,death,deathIncrease,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,negative,negativeIncrease,positive,positiveIncrease,positiveScore,recovered,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsPeopleViralIncrease,cases,deaths,Unnamed: 0,STEMERG,CLSCHOOL,CLDAYCR,STAYHOME,QRSOMEST,QR_ALLST,CLBSNS,CURFEW,CLREST,CLGYM,CLMOVIE,CLOSEBAR,CASCLOSE,FM_ALL,TLHLAUD,TLHLMED,ELECPRCR,CLS_RELG,CLS_HAIR
40,03/07/21,Oregon,2296.0,3,8714.0,8714.0,158.0,0,,0,157079.0,195,0,,0,3850973.0,0,0,157350.0,2303.0,13350.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
41,03/07/21,Pennsylvania,24349.0,32,,,1587.0,0,3942124.0,6592,948643.0,1658,0,861756.0,52432,10681716.0,52432,8073,953421.0,24393.0,13702.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
42,03/07/21,Puerto Rico,2062.0,3,,,134.0,0,305972.0,0,101632.0,305,0,91987.0,0,407604.0,305,0,135432.0,2065.0,,,,,,,,,,,,,,,,,,,,
43,03/07/21,Rhode Island,2547.0,0,9020.0,9020.0,141.0,0,677570.0,1421,128781.0,265,0,,13513,3123348.0,13513,1686,128121.0,2541.0,14054.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
44,03/07/21,South Carolina,8754.0,35,20725.0,20725.0,579.0,66,4657179.0,25856,525865.0,1408,0,218863.0,0,5183044.0,27264,0,525865.0,8754.0,14406.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
45,03/07/21,South Dakota,1900.0,2,6705.0,6705.0,72.0,13,314540.0,524,113589.0,211,0,109531.0,0,701924.0,1275,735,113589.0,1900.0,14758.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
46,03/07/21,Tennessee,11543.0,0,18870.0,18870.0,851.0,0,,0,782206.0,0,0,756793.0,0,6872745.0,0,0,769161.0,11450.0,15110.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
47,03/07/21,Texas,44451.0,84,,,4721.0,0,,0,2686818.0,2953,0,2502609.0,0,19907384.0,76040,0,2695863.0,45446.0,15462.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
48,03/07/21,Utah,1976.0,1,14891.0,14891.0,212.0,24,1560293.0,3204,374850.0,412,0,358958.0,0,2910121.0,6828,3460,374850.0,1976.0,15814.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
49,03/07/21,Virginia,9596.0,77,24661.0,24661.0,1127.0,24,,0,585700.0,1163,0,,19925,6038209.0,19925,0,585700.0,9596.0,16518.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
